	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
IFI6	1.727454346613239	14357.0199889942	-1.16336917406059	0.0411569600257165	28.266644896359402	8.887519724933607e-176	1.7970714253895194e-173
ELMOD1	1.725767126034192	771.216211890477	-3.09395594383677	0.109510412360554	28.2526188802045	1.3217122651874195e-175	2.6502533770782984e-173
RBMS2	1.714339034056674	1926.28221658137	-1.8680555796172198	0.0663392064367458	28.1591487139419	1.8516130892312996e-174	3.6821086076928585e-172
SERPINH1	1.7085884062782444	7968.473287215641	1.30157109263441	0.0462997258210305	-28.111853138517	7.017581747164567e-174	1.3840741967235592e-171
PPP1R3C	1.6743943978925333	515.410301577698	3.6554914034228396	0.13134869836671903	-27.8304349329514	1.8583760496226795e-170	3.6354670330098386e-168
PNP	1.6641680789708369	3019.49635313401	-1.4852270437902502	0.0535303464509762	27.745515249942304	1.9737042015157694e-169	3.829941169102628e-167
BSDC1	1.6521223222317183	1543.3126395065601	-1.83169953264022	0.066257398453193	27.6452075602427	3.186735859407069e-168	6.134339059924228e-166
SCAMP2	1.6494265175185832	932.6612307182429	-2.4117662161627003	0.0873116997262113	27.6224861470505	5.975676395155168e-168	1.1411644874620895e-165
VCL	1.6470681655750101	6977.587694555689	1.1842291882353602	0.0429028755208999	-27.602559825121002	1.0367055916816195e-167	1.9641897596096993e-165
USP28	1.6459905873885432	1162.7402043672698	-2.1096200348919902	0.0764540758415344	27.5932971744316	1.3391200369360095e-167	2.5173364319339193e-165
COL1A2	1.6457632361219678	540.7860825081659	4.4739558938392	0.16215201761225	-27.5911207256	1.4221138814262495e-167	2.652628233711499e-165
CMPK2	1.6414389075691531	536.6204553878	-3.8397293416495297	0.139348956745204	27.5547763781998	3.879009765370019e-167	7.179748690333328e-165
GPRC5A	1.6393921622877314	1542.7745231009399	-2.02324780704336	0.07347269201275099	27.537412222383598	6.2621482433864685e-167	1.1502275651325597e-164
UBE2L6	1.6350960902442926	3073.46618975826	-1.42058431311034	0.0516552866752099	27.5012376185708	1.6968098801569197e-166	3.093078737601199e-164
MDM2	1.6189908406948916	13118.699415123501	-1.14855713731021	0.0419702763739749	27.3659655484759	6.973259850976909e-165	1.2615832972496695e-162
SNTB2	1.61367708958376	4885.51129960522	-1.21963947185948	0.0446410915943954	27.3210046685462	2.388163836013129e-164	4.2883580762796997e-162
RAB3B	1.612010347198212	4418.60240412947	-1.4236562020681598	0.0521357821120791	27.3067007800449	3.531565993494899e-164	6.294558587812908e-162
CYBRD1	1.609354851886993	1485.4759248858802	1.99251403635763	0.07302850364674901	-27.2840594680093	6.557253856687738e-164	1.1601517816148596e-161
CHD3	1.60161760293059	4700.58408165507	1.28999668862591	0.0473941084326716	-27.218503128051896	3.923092531140199e-163	6.890324998853676e-161
ZDHHC20	1.5961010936813214	1945.4727101733301	1.7185821915283603	0.0632492292025888	-27.171591072259602	1.4074662701693094e-162	2.454090825566229e-160
ALDH1A1	1.5691130726699014	2336.4366720365197	-1.94009177327042	0.0720100360145929	26.941963657361	7.085586607460128e-160	1.2265711147388897e-157
CBFB	1.5629114477266577	1124.33420489377	-2.19555475478744	0.081653387081455	26.8887162341131	2.976127552854639e-159	5.115112941199169e-157
FBN1	1.5537363007919733	14420.325813629099	1.32363206161875	0.0493710651708416	-26.8098745092598	2.478890316740829e-158	4.230287858256578e-156
RRP1B	1.5529675819459001	1498.7001626089002	-1.7749385124319101	0.0662215932407228	26.8030173478282	2.9798776120831086e-158	5.049423598728439e-156
SERP1	1.544505726920821	2049.04418490013	1.6248271434634098	0.0607865044662386	-26.7300638148366	2.1058703161725495e-157	3.5434581501918785e-155
UBE2H	1.5353822944595046	4194.0980818117605	-1.21591650226529	0.0456233204291883	26.6512058049898	1.7330110173662594e-156	2.895813270824099e-154
CBX1	1.528847186934934	999.695689781673	-2.2436705039130698	0.0843659462015778	26.5945041208002	7.858100634403738e-156	1.3040111549311896e-153
FAM171A1	1.5095065849090694	1749.2477675918499	1.78701882656335	0.06762223044339799	-26.426499316066497	6.797710147118167e-154	1.1203185038353296e-151
FBLIM1	1.5052654385334983	3441.7559753779497	-1.34672547088032	0.0510329848772509	26.3893141684654	1.8173633222527297e-153	2.974788861227559e-151
SLCO2A1	1.4959587412731647	474.898757927443	3.4382605929184105	0.130693366207726	-26.307843256968397	1.5597531293050593e-152	2.535863499820159e-150
VMP1	1.493631244900227	5637.056493519251	-1.1304384106335201	0.0430033169937975	26.2872375820815	2.683675836924499e-152	4.3338663079246485e-150
IFITM1	1.4911575360549099	1346.9460713727	-2.00247011008093	0.0762400293957768	26.2653375916963	4.775357952613128e-152	7.660310870385128e-150
HLA-B	1.4909575052848418	1760.2696757143103	-1.98676432311986	0.0756478341770367	26.263333838088304	5.033785394867529e-152	8.021387031212087e-150
RTCB	1.4831866117196026	1461.1586846498499	-1.7794912077869498	0.0679325726101991	26.194962731615895	3.0328483394056995e-151	4.801078733077628e-149
ZNF518B	1.4773002946788145	2954.7006226776803	1.47261996994848	0.0563294293641566	-26.1429946401257	1.1839414906865195e-150	1.8619607940456795e-148
RNF14	1.4771680045329574	1323.4481660667698	-1.88598984228468	0.0721452060736168	26.141582302228397	1.2285378610038198e-150	1.9195505202255794e-148
FADS1	1.4723433880761818	2513.0995766357396	1.5636631907105702	0.059913069450499	-26.098866325026002	3.7554429432434494e-150	5.829901167762828e-148
RSAD2	1.4663659203646693	796.385268155183	-3.0538685316373395	0.117249458711905	26.0459072919136	1.4969277501062393e-149	2.3089150976318192e-147
